17:43:33.645 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Eagerly caching bean 'org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration$SameManagementContextConfiguration' to allow for resolving potential circular references
17:43:33.655 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'metaDataSourceAdvisor'
17:43:33.656 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
17:43:33.656 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'metaDataSourceAdvisor'
17:43:33.659 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
17:43:33.660 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration$SameManagementContextConfiguration'
17:43:33.660 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration'
17:43:33.660 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating instance of bean 'org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration'
17:43:33.660 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'metaDataSourceAdvisor'
17:43:33.660 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
17:43:33.660 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Eagerly caching bean 'org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration' to allow for resolving potential circular references
17:43:33.660 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'metaDataSourceAdvisor'
17:43:33.660 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
17:43:33.661 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'metaDataSourceAdvisor'
17:43:33.661 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
17:43:33.661 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration'
17:43:33.661 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'management.server-org.springframework.boot.actuate.autoconfigure.web.server.ManagementServerProperties'
17:43:33.661 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating instance of bean 'management.server-org.springframework.boot.actuate.autoconfigure.web.server.ManagementServerProperties'
17:43:33.661 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'metaDataSourceAdvisor'
17:43:33.661 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
17:43:33.661 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Eagerly caching bean 'management.server-org.springframework.boot.actuate.autoconfigure.web.server.ManagementServerProperties' to allow for resolving potential circular references
17:43:33.662 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'metaDataSourceAdvisor'
17:43:33.662 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
17:43:33.662 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'metaDataSourceAdvisor'
17:43:33.662 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
17:43:33.662 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Finished creating instance of bean 'management.server-org.springframework.boot.actuate.autoconfigure.web.server.ManagementServerProperties'
17:43:33.662 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.orm.jpa.SharedEntityManagerCreator#0'
17:43:33.663 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
17:43:33.663 [restartedMain]   DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
17:43:33.664 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.context.annotation.ConfigurationClassPostProcessor
